society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,pooja room,store room,study room,others,furniture_labels,luxury_score,latitude,longitude
the lions cghs,flat,sector 56,1.99,11055.0,4,4,3+,6.0,old property,2000.0,0,1,0,0,1,2,92,28.4245,77.0991
bestech park view residency,flat,sector 2,0.98,6261.0,2,2,3,12.0,moderately new,1416.0,0,0,0,1,0,0,75,28.5095,77.032
bptp freedom park life,flat,sector 57,5.5,8982.0,5,6,3+,6.0,moderately new,5010.0,1,1,0,0,0,2,120,28.4232,77.0752
ss the leaf,flat,sector 85,1.25,7179.0,2,2,3,8.0,relatively new,1730.0,0,0,0,0,0,0,35,28.4042,76.9513
vatika city homes,flat,sector 83,1.05,8571.0,3,3,3,10.0,moderately new,1468.0,0,1,0,0,0,2,81,28.3986,76.9647
ss the leaf,flat,sector 85,1.04,8320.0,2,2,3,8.0,new property,1550.0,0,0,0,0,1,0,116,28.4042,76.9513
international city by sobha phase 1,house,sector 109,5.9,24280.0,4,5,2,2.0,relatively new,2430.0,1,0,0,0,0,2,90,28.5073,77.0089
tulip violet,flat,sector 69,1.55,9822.0,3,3,2,10.0,relatively new,1428.0,0,1,0,0,0,2,127,28.3966,77.0341
ats kocoon,flat,sector 109,2.95,10350.0,4,4,3+,4.0,relatively new,3150.0,1,0,1,0,0,2,120,28.5073,77.0089
pyramid urban homes 2,flat,sector 86,0.43,8582.0,2,2,1,2.0,new property,557.0,0,0,0,1,0,0,69,28.3986,76.9384
vatika the seven lamps,flat,sector 82,0.94,6533.0,2,2,3+,16.0,relatively new,1299.0,0,0,0,1,0,2,88,28.3935,76.96
signature global orchard avenue,flat,sector 93,0.38,6387.0,2,2,2,6.0,relatively new,661.0,0,0,0,0,0,0,8,28.4153,76.9326
bestech park view grand spa,flat,sector 81,4.2,10000.0,4,4,3+,4.0,relatively new,3512.0,1,0,0,0,0,2,75,28.3867,76.9485
dlf regal gardens,flat,sector 90,1.25,8116.0,3,3,3,12.0,relatively new,1640.0,0,1,0,0,0,0,120,28.4085,76.9369
assotech blith,flat,sector 99,1.9,6702.0,4,4,3+,2.0,relatively new,2835.0,0,0,0,0,0,0,51,28.464,76.9614
unitech sunbreeze,flat,sector 69,1.0,5476.0,4,3,No,6.0,relatively new,1826.0,0,0,0,0,0,0,0,28.3966,77.0341
whiteland  the aspen,flat,sector 76,3.5,11917.0,3,4,3,8.0,relatively new,2937.0,0,0,0,0,0,0,0,28.3935,76.9888
dlf new town heights,flat,sector 91,1.8,7679.0,4,4,3+,12.0,moderately new,2604.0,1,1,0,0,0,0,52,28.4014,76.9225
chd avenue,flat,sector 71,0.98,6049.0,3,3,3,4.0,moderately new,1466.0,0,0,0,1,0,0,45,28.4104,77.0281
hsiidc sidco shivalik apartments,flat,manesar,0.6,4000.0,3,2,2,8.0,moderately new,1277.0,0,0,0,0,0,0,59,28.3515,76.9428
smart world one dxp,flat,sector 113,3.45,13269.0,4,4,3,2.0,relatively new,2353.0,1,0,0,1,0,0,127,28.5287,77.0233
la vida by tata housing,flat,sector 113,1.85,11716.0,3,2,2,10.0,new property,1429.0,0,0,0,0,0,0,13,28.5287,77.0233
sare homes,flat,sector 92,0.68,5238.0,3,3,2,4.0,relatively new,1442.0,0,1,0,0,0,0,71,28.4079,76.9153
malibu towers,flat,sector 47,2.45,10698.0,3,4,2,6.0,old property,2544.0,0,0,0,1,0,2,28,28.4276,77.0492
mrg skyline,flat,sector 106,1.82,13392.0,3,2,2,8.0,relatively new,1359.0,0,0,0,0,0,0,0,28.5007,77.0003
signature global city 81,flat,sector 81,0.8,14652.0,2,2,2,6.0,relatively new,607.0,0,0,0,1,0,0,22,28.3867,76.9485
dlf new town heights,flat,sector 86,1.28,8205.0,3,4,3+,12.0,moderately new,1740.0,1,1,0,0,0,0,74,28.3986,76.9384
umang monsoon breeze,flat,sector 78,1.15,5284.0,3,3,3,8.0,moderately new,1969.0,1,0,0,0,1,0,13,28.3733,76.9729
pareena mi casa,flat,sector 68,1.15,9236.0,2,2,3,8.0,new property,1127.0,0,0,0,0,0,0,35,28.3853,77.0484
ambience lagoon,flat,sector 24,4.25,13281.0,3,4,3+,10.0,old property,3201.0,1,0,1,0,0,2,107,28.4939,77.1038
independent,house,sector 25,11.0,35530.0,5,5,3+,2.0,relatively new,3096.0,1,1,1,1,0,0,15,28.4844,77.086
vatika gurgaon,flat,sector 83,1.25,7812.0,4,4,3,12.0,moderately new,1970.0,1,0,0,0,0,0,81,28.3986,76.9647
orchid petals,flat,sector 49,4.52,10984.0,5,5,3+,4.0,moderately new,3724.0,1,1,0,1,0,0,35,28.4121,77.048
