Unnamed: 0,society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,pooja room,store room,study room,others,Washing Machine,Sofa,Wardrobe,Microwave,Chimney,Geyser,AC,Dining Table,Fan,Exhaust Fan,Curtains,Modular Kitchen,Bed,Fridge,Light,TV,Stove,Water Purifier,Cluster_Labels,luxury_score,area_room_ratio
0,maa bhagwati residency,flat,sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),2,2,1,,West,relatively new,,,900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,14,450.0
1,apna enclave,flat,sector 3,0.5,7692.0,650.0260010400416,Carpet area: 650 (60.39 sq.m.),2,2,1,,West,old property,,,650.0,0,0,0,0,0,0,0,3,0,1,1,0,0,4,1,1,1,0,0,3,0,0,0,1,28,325.0130005200208
2,tulsiani easy in homes,flat,sohna road,0.4,6722.0,595.0609937518595,Carpet area: 595 (55.28 sq.m.),2,2,3,12.0,,new property,,,595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,297.53049687592977
3,smart world orchard,flat,sector 61,1.47,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2.0,,Undefined,,,1200.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,600.0
4,parkwood westend,flat,sector 92,0.7,5204.0,1345.119139123751,Super Built up area 1345(124.95 sq.m.),2,2,3,,,under construction,1345.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672.5595695618755
5,signature global infinity mall,flat,sector 36,0.41,6269.0,654.0118041154889,Built Up area: 654 (60.76 sq.m.),2,2,3,,,Undefined,,654.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.00590205774444
6,the cocoon,flat,dwarka expressway,2.0,13333.0,1500.0375009375234,Super Built up area 1500(139.35 sq.m.),3,3,3,,,new property,1500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.0125003125078
7,ats triumph,flat,sector 104,1.8,7860.0,2290.0763358778627,Carpet area: 2290 (212.75 sq.m.),3,4,3,,,new property,,,2290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,763.3587786259542
8,vatika xpressions,flat,sector 88b,1.1,8148.0,1350.0245459008345,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,4,3+,2.0,North-East,under construction,,1350.0,1050.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,675.0122729504172
9,raheja revanta,flat,sector 78,4.75,16885.0,2813.147764287829,Built Up area: 2813 (261.34 sq.m.),3,3,2,,,Undefined,,2813.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,937.7159214292764
10,signature global city 81,flat,sector 81,0.96,9767.0,982.9016074536704,Carpet area: 1075 (99.87 sq.m.),2,2,2,,,Undefined,,,1075.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,491.4508037268352
11,hcbs sports ville,flat,sohna road,0.29,5587.0,519.062108466082,Carpet area: 519 (48.22 sq.m.),2,2,1,,,relatively new,,,519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,259.531054233041
12,supertech araville,flat,sector 79,1.35,6940.0,1945.2449567723345,Carpet area: 1945 (180.7 sq.m.),3,3,3,,,relatively new,,,1945.0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,3,0,0,1,0,0,648.4149855907782
13,godrej,flat,sector 33,0.95,6859.0,1385.0415512465374,Super Built up area 1385(128.67 sq.m.),2,2,3+,,South-East,under construction,1385.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.5207756232687
14,shree vardhman flora,flat,sector 90,0.7,5384.0,1300.148588410104,Super Built up area 1300(120.77 sq.m.),2,2,3,,,new property,1300.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,650.074294205052
15,sobha city,flat,sector 108,3.95,16859.0,2342.962216027048,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,,,Undefined,,2343.0,2300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,585.740554006762
16,senate court,flat,sector 62,0.9,14084.0,639.0230048281738,Built Up area: 639 (59.37 sq.m.),1,1,No,,,Undefined,,639.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.0230048281738
17,shapoorji pallonji joyville gurugram,flat,sector 102,1.05,11475.0,915.032679738562,Carpet area: 915 (85.01 sq.m.),2,2,2,,,Undefined,,,915.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,457.516339869281
19,central park flower valley,flat,sector 33,2.2,10476.0,2100.038182512409,Super Built up area 2100(195.1 sq.m.),3,3,3,12.0,North-East,new property,2100.0,,,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,35,700.0127275041364
20,smart world gems,flat,sector 89,1.01,9156.0,1103.1017911751858,Carpet area: 1103 (102.47 sq.m.),2,2,2,,,Undefined,,,1103.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,551.5508955875929
21,bestech altura,flat,sector 79,1.85,8604.0,2150.162715016272,Super Built up area 2150(199.74 sq.m.),3,4,3+,,North,new property,2150.0,,,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,35,716.720905005424
22,smart world gems,flat,sector 89,0.86,7796.0,1103.129810159056,Super Built up area 1103(102.47 sq.m.),2,3,3,,,under construction,1103.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,551.564905079528
23,emaar imperial gardens,flat,sector 102,1.85,9135.0,2025.1778872468528,Carpet area: 2025 (188.13 sq.m.),3,3,3+,,South-West,relatively new,,,2025.0,1,0,0,0,0,0,0,5,0,0,0,5,0,8,1,0,1,0,0,20,0,0,0,1,66,675.059295748951
